tick,population,strains,nutrient,phase,births,starved,lysed,senescent
10,5,1,0.7103,lag,0,0,0,0
20,10,1,0.7314,lag,5,0,0,0
30,10,1,0.7494,lag,5,0,0,0
40,18,1,0.7676,lag,13,0,0,0
50,20,1,0.7825,lag,15,0,0,0
60,27,1,0.7966,lag,22,0,0,0
70,36,1,0.8081,lag,31,0,0,0
80,44,2,0.8189,lag,39,0,0,0
90,53,2,0.8276,log,48,0,0,0
100,59,2,0.8352,log,54,0,0,0
110,76,2,0.8386,log,71,0,0,0
120,82,2,0.8412,log,77,0,0,0
130,104,3,0.8377,log,99,0,0,0
140,119,3,0.8312,log,114,0,0,0
150,143,3,0.8224,log,138,0,0,0
160,170,3,0.8058,log,165,0,0,0
170,206,3,0.7878,log,201,0,0,0
180,232,3,0.7611,log,227,0,0,0
190,267,4,0.7374,log,264,2,0,0
200,301,4,0.6998,log,299,3,0,0
210,341,4,0.6698,log,340,4,0,0
220,378,4,0.6358,log,381,8,0,0
230,403,4,0.6024,log,415,17,0,0
240,444,4,0.5662,log,466,27,0,0
250,474,4,0.5319,log,498,29,0,0
260,496,4,0.5044,log,535,44,0,0
270,507,4,0.4710,log,561,59,0,0
280,531,3,0.4425,log,597,71,0,0
290,526,3,0.4156,log,626,105,0,0
300,529,3,0.3939,log,651,127,0,0
310,532,3,0.3707,log,688,161,0,0
320,534,3,0.3483,log,720,191,0,0
330,521,4,0.3284,log,745,229,0,0
340,517,4,0.3048,stationary,772,260,0,0
350,520,4,0.2823,stationary,800,285,0,0
360,510,4,0.2651,stationary,830,325,0,0
370,498,4,0.2466,stationary,855,362,0,0
380,477,4,0.2327,stationary,881,409,0,0
390,475,4,0.2193,stationary,906,436,0,0
400,455,4,0.2080,stationary,925,475,0,0
410,439,4,0.1961,stationary,944,510,0,0
420,425,4,0.1885,stationary,958,538,0,0
430,417,4,0.1793,death,987,575,0,0
440,413,3,0.1691,death,998,590,0,0
450,396,4,0.1621,death,1019,628,0,0
460,385,4,0.1600,death,1033,653,0,0
470,361,4,0.1639,death,1045,689,0,0
480,342,4,0.1658,death,1054,717,0,0
490,322,5,0.1716,death,1062,745,0,0
500,301,5,0.1801,death,1064,768,0,0
510,285,5,0.1905,death,1069,789,0,0
520,260,5,0.2032,death,1069,814,0,0
530,236,5,0.2173,death,1072,841,0,0
540,211,5,0.2315,death,1074,868,0,0
550,199,5,0.2435,death,1078,884,0,0
560,179,5,0.2577,death,1079,905,0,0
570,171,6,0.2700,death,1085,919,0,0
580,160,6,0.2821,death,1089,934,0,0
590,155,8,0.2932,death,1100,950,0,0
600,147,8,0.3030,death,1105,963,0,0
610,136,8,0.3163,death,1111,979,0,1
620,134,7,0.3243,death,1116,986,0,1
630,130,8,0.3335,death,1126,1000,0,1
640,136,8,0.3403,death,1135,1003,0,1
650,142,8,0.3465,death,1147,1009,0,1
660,153,8,0.3493,death,1159,1010,0,1
670,160,8,0.3525,death,1171,1013,0,3
680,170,8,0.3550,death,1183,1015,0,3
690,184,8,0.3526,log,1197,1015,0,3
700,203,9,0.3483,log,1220,1019,0,3
710,223,9,0.3408,log,1245,1022,0,5
720,244,9,0.3282,log,1267,1023,0,5
730,279,9,0.3140,log,1302,1023,0,5
740,308,9,0.2926,log,1332,1024,0,5
750,344,9,0.2766,log,1369,1024,0,6
760,362,9,0.2541,log,1393,1029,0,7
770,393,10,0.2330,log,1426,1030,0,8
780,414,10,0.2124,log,1455,1036,0,10
790,438,10,0.1985,log,1484,1040,0,11
800,460,10,0.1801,log,1517,1050,0,12
810,480,10,0.1590,log,1556,1063,0,18
820,495,9,0.1401,log,1588,1080,0,18
830,504,9,0.1197,log,1611,1093,0,19
840,503,9,0.1044,log,1643,1124,0,21
850,491,10,0.0884,log,1661,1153,0,22
860,477,10,0.0778,log,1676,1182,0,22
870,456,10,0.0696,log,1692,1219,0,22
880,446,10,0.0652,stationary,1705,1241,0,23
890,406,10,0.0625,stationary,1712,1286,0,25
900,397,10,0.0571,stationary,1721,1302,0,27
910,377,11,0.0534,death,1730,1330,0,28
920,350,10,0.0524,death,1735,1362,0,28
930,328,10,0.0536,death,1739,1385,0,31
940,304,9,0.0539,death,1744,1413,0,32
950,282,8,0.0553,death,1750,1441,0,32
960,263,8,0.0579,death,1753,1462,0,33
970,251,8,0.0566,death,1760,1481,0,33
980,240,7,0.0558,death,1767,1498,0,34
990,226,7,0.0545,death,1772,1517,0,34
1000,217,7,0.0559,death,1775,1528,0,35
1010,205,7,0.0564,death,1777,1542,0,35
1020,206,7,0.0565,death,1782,1546,0,35
1030,204,7,0.0566,death,1785,1551,0,35
1040,201,6,0.0566,death,1792,1560,0,36
1050,200,6,0.0574,death,1797,1564,0,38
1060,196,6,0.0576,death,1798,1569,0,38
1070,205,6,0.0558,death,1807,1569,0,38
1080,206,6,0.0532,stationary,1812,1573,0,38
1090,215,6,0.0508,stationary,1823,1574,0,39
1100,220,6,0.0481,stationary,1829,1575,0,39
1110,220,6,0.0462,stationary,1832,1578,0,39
1120,225,6,0.0455,stationary,1837,1578,0,39
1130,225,6,0.0443,stationary,1841,1582,0,39
1140,227,7,0.0433,stationary,1844,1583,0,39
1150,225,7,0.0437,stationary,1844,1584,0,40
1160,224,7,0.0433,stationary,1848,1589,0,40
1170,226,7,0.0425,stationary,1854,1593,0,40
1180,226,7,0.0415,stationary,1857,1596,0,40
1190,224,7,0.0407,stationary,1859,1600,0,40
1200,227,7,0.0390,stationary,1863,1601,0,40
1210,225,7,0.0386,stationary,1864,1604,0,40
1220,224,6,0.0388,stationary,1865,1606,0,40
